"Type","Code","ThinkCode","ColorCode","Formula","Colored","FormulaKey","SameCode","ColorDesc","ReverseCode"
角块,BP,鞭炮,"1",D R' D F2 D' R D R' F2 R D2 ,,角块-BP,,,
角块,CW,宠物,"2",U' R' U R U' R' D R U R' D' U' R U ,,角块-CW,,,
角块,CP,车票,"2",l U2 R' D R U2 R' D' x ,,角块-CP,,,
角块,BQ,棒球,"1",R U D R' D R U2 R' D' R D' U R' ,,角块-BQ,,,
角块,CQ,柴犬,"2",U' R' U r2 D' R D r2 ,,角块-CQ,,,
角块,AR,爱人,"0",R D' R2 D R U' R' D' R U R D R',,角块-AR,,,
角块,BR,被褥,"1",D R2 D' R' U2 R D R' U2 R' D' ,,角块-BR,,,
角块,CR,超人,"2",F' D R U' R' D2 R U R' D F ,,角块-CR,,,
角块,AS,阿衰,"0",U' R D R' U' R D' R' U2,,角块-AS,,,
角块,BS,冰山,"1",R U D' R' D R U2 R' D' R D U R' ,,角块-BS,,,
角块,CS,厨师,"2",R' U' R' D' R U2 R' D R U' R,,角块-CS,,,
角块,AT,阿童木,"0",D' R' D' R U' R' D R U D,,角块-AT,,,
角块,BT,白糖,"1",R U R' D' R U2 R' D R U R' ,,角块-BT,,,
角块,AQ,暗器,"0",U' R D' R' U' R D R' U2,,角块-AQ,,,
角块,MD,毛豆,"1",U2 R' D R U2 R' D' R,,角块-MD,,,
角块,ND,牛犊,"2",D' U R D' R' U2 R D R' U D,,角块-ND,,,
角块,WE,我们,"0",D' R U R D' R' U' R D R2 D,,角块-WE,,,
角块,SN,酸奶,"1",R D R' U' R D R' U R D2 R',,角块-SN,,,
角块,TN,鸵鸟,"2",D' R U R' D2 R U' R' D',,角块-TN,,,
角块,RO,肉,"0",U r2 D' R2 D r2 U' R2,,角块-RO,,,
角块,SO,手偶,"1",R2 D2 R U R' D R U' R' D R2,,角块-SO,,,
角块,TO,糖藕,"2",R D U' R' U R D2 R' U' R U D R',,角块-TO,,,
角块,RP,肉片,"0",U R2 U' R' D2 R U R' D2 R' U',,角块-RP,,,
角块,SP,薯片,"1",U' R' U' R D' R' U R D U,,角块-SP,,,
角块,TP,天蓬元帅,"2",R' D' R' U' R D2 R' U R D' R,,角块-TP,,,
角块,RQ,肉球,"0",D2 R U' R D2 R' U R D2 R2 D2,,角块-RQ,,,
角块,SQ,手枪,"1",R D R' U' R D2 R' U R D R',,角块-SQ,,,
角块,TQ,台球,"2",D' R U R' D' R U' R' D2,,角块-TQ,,,
角块,RX,肉馅,"0",D' R2 U R2 U' R2 D R2 U R2 U' R2,,角块-RX,,,
角块,SX,生肖,"1",R U' D' R2 D R U2 R' D' R U2 R D U R',,角块-SX,,,
角块,TX,拖鞋,"2",D' R2 D2 R' U' R D2 R' U R' D,,角块-TX,,,
角块,RY,肉燕,"0",U R D' R' D R U' R' D' R U D R' U',,角块-RY,,,
角块,SY,摄影,"1",D' U R U' R' D R U R' U',,角块-SY,,,
角块,TY,汤圆,"2",D R D' R' U' R D2 R' U R D' R' D',,角块-TY,,,
角块,RZ,肉粽,"0",D' U r' D2 r U' r' F D2 F' r D,,角块-RZ,,,
角块,SZ,勺子,"1",R' U D' R U R' D R U' R' U' R,,角块-SZ,,,
角块,TZ,贴纸,"2",D' R U R' D R U' R',,角块-TZ,,,
角块,XA,雪獒铠甲,"0",U' R2 D' R2 D R2 U R2 D' R2 D R2,,角块-XA,,,
角块,RN,肉泥,"0",D R U' R D' R' U R D R2 D',,角块-RN,,,
角块,TM,汤姆猫,"2",R' D R2 U R' D' R U' R' D R' D' R,,角块-TM,,,
角块,SM,烧麦,"1",D' U R U' R' D2 R U R' U' D',,角块-SM,,,
角块,RM,绒毛,"0",F' D' R U' R' D R U R' F,,角块-RM,,,
角块,TC,陶瓷,"2",F R U R' D' R U' R' D F',,角块-TC,,,
角块,RD,瑞典,"0",R D' R' U2 R' D R U2 R' D' R2 D R',,角块-RD,,,
角块,SD,闪电,"1",U R D R' U2 R D' R' U,,角块-SD,,,
角块,TD,泰迪,"2",D U R D' R' U2 R D R' U D',,角块-TD,,,
角块,RE,软腭,"0",D R U R D' R' U' R D R2 D',,角块-RE,,,
角块,SE,烧鹅,"1",U' R D' R U' R' D R U R2 U,,角块-SE,,,
角块,TE,天鹅,"2",R U2 R' D' R U' R' D R U' R',,角块-TE,,,
角块,RF,肉粉,"0",U R2 U' R' D' R U R' D R' U',,角块-RF,,,
角块,SF,沙发,"1",R' U R' D' R U R' D R U2 R,,角块-SF,,,
角块,TF,台风,"2",D' R' D R' U R D' R' U' R2 D,,角块-TF,,,
角块,YA,鸭,"1",D' U' R' D R U R' D' R D,,角块-YA,,,
角块,RG,热狗,"0",R D' R' U R' D R U' R' D' R U' R D R' U,,角块-RG,,,
角块,TG,糖果,"2",D R D' R' U' R D R' U D',,角块-TG,,,
角块,RH,如花,"0",D R U' D' R' U R D R' U' R U R' D' ,,角块-RH,,,
角块,SH,水壶,"1",U' R U R' U' R D R' U R D' U' R' U,,角块-SH,,,
角块,TH,弹簧,"2",R D U' R' U R D' R' U' R U R',,角块-TH,,,
角块,RI,日,"0",F' R D R' U2 R D' R' U2 F,,角块-RI,,,
角块,SI,丝,"1",U R U R' D' R U2 R' D R U R' U',,角块-SI,,,
